0.000000,0.000000
0.104999,0.000558
0.209990,0.001924
0.314967,0.004098
0.419925,0.007080
0.524856,0.010869
0.629756,0.015465
0.734617,0.020866
0.839433,0.027072
0.944199,0.034082
1.048908,0.041894
1.153554,0.050507
1.258131,0.059920
1.362634,0.070130
1.467055,0.081137
1.571390,0.092938
1.675632,0.105531
1.779776,0.118914
1.883815,0.133084
1.987744,0.148040
2.091558,0.163779
2.195251,0.180297
2.298816,0.197593
2.402250,0.215663
2.505546,0.234504
2.608698,0.254114
2.711703,0.274488
2.814553,0.295624
2.917245,0.317518
3.019774,0.340166
3.122133,0.363566
3.224319,0.387712
3.326326,0.412602
3.428151,0.438231
3.529787,0.464595
3.631231,0.491690
3.732477,0.519512
3.833523,0.548057
3.934363,0.577321
4.034993,0.607298
4.135408,0.637984
4.235606,0.669376
4.335582,0.701467
4.435331,0.734254
4.534851,0.767732
4.634138,0.801896
4.733188,0.836741
4.831997,0.872262
4.930562,0.908454
5.028880,0.945313
5.126948,0.982833
5.224762,1.021009
5.322320,1.059835
5.419618,1.099308
5.516653,1.139422
5.613424,1.180170
5.709926,1.221550
5.806159,1.263554
5.902118,1.306178
5.997802,1.349416
6.093209,1.393264
6.188335,1.437715
6.283180,1.482765
6.377741,1.528408
6.472015,1.574638
6.566002,1.621452
6.659699,1.668842
6.753105,1.716804
6.846218,1.765333
6.939036,1.814423
7.031558,1.864068
7.123782,1.914265
7.215708,1.965006
7.307333,2.016287
7.398658,2.068102
7.489680,2.120447
7.580398,2.173316
7.670813,2.226704
7.760922,2.280605
7.850725,2.335015
7.940221,2.389928
8.029410,2.445339
8.118291,2.501242
8.206862,2.557634
8.295125,2.614508
8.383078,2.671860
8.470721,2.729685
8.558054,2.787977
8.645076,2.846733
8.731787,2.905945
8.818188,2.965611
8.904277,3.025725
8.990055,3.086282
9.075522,3.147277
9.160677,3.208706
9.245522,3.270563
9.330056,3.332845
9.414279,3.395547
9.498191,3.458663
9.581794,3.522190
9.665086,3.586123
9.748069,3.650457
9.830743,3.715187
9.913107,3.780311
9.995164,3.845822
10.076913,3.911717
10.158354,3.977991
10.239489,4.044640
10.320318,4.111661
10.400841,4.179048
10.481059,4.246797
10.560974,4.314905
10.640585,4.383368
10.719893,4.452181
10.798899,4.521340
10.877604,4.590842
10.956009,4.660682
11.034115,4.730857
11.111922,4.801362
11.189432,4.872195
11.266644,4.943351
11.343561,5.014827
11.420183,5.086619
11.496512,5.158723
11.572547,5.231136
11.648290,5.303854
11.723743,5.376874
11.798906,5.450192
11.873780,5.523805
11.948367,5.597709
12.022666,5.671902
12.096681,5.746379
12.170411,5.821138
12.243858,5.896175
12.317022,5.971487
12.389906,6.047071
12.462510,6.122925
12.534835,6.199043
12.606882,6.275425
12.678654,6.352066
12.750150,6.428964
12.821372,6.506116
12.892322,6.583518
12.963000,6.661169
13.033408,6.739064
13.103547,6.817202
13.173418,6.895580
13.243022,6.974194
13.312361,7.053043
13.381436,7.132123
13.450248,7.211432
13.518798,7.290967
13.587088,7.370726
13.655119,7.450706
13.722892,7.530905
13.790408,7.611320
13.857669,7.691948
13.924676,7.772788
13.991430,7.853837
14.057932,7.935093
14.124184,8.016552
14.190187,8.098214
14.255942,8.180075
14.321451,8.262134
14.386714,8.344388
14.451733,8.426835
14.516510,8.509472
14.581045,8.592299
14.645339,8.675312
14.709395,8.758510
14.773213,8.841891
14.836794,8.925451
14.900140,9.009191
14.963252,9.093107
15.026131,9.177197
15.088778,9.261460
15.151196,9.345894
15.213384,9.430497
15.275344,9.515267
15.337077,9.600202
15.398586,9.685301
15.459869,9.770561
15.520930,9.855981
15.581769,9.941559
15.642388,10.027294
15.702787,10.113183
15.762967,10.199225
15.822931,10.285419
15.882679,10.371762
15.942212,10.458254
16.001532,10.544892
16.060639,10.631675
16.119536,10.718602
16.178222,10.805670
16.236699,10.892879
16.294969,10.980227
16.353032,11.067712
16.410890,11.155333
16.468543,11.243089
16.525994,11.330978
16.583242,11.418999
16.640289,11.507150
16.697137,11.595430
16.753786,11.683837
16.810237,11.772371
16.866492,11.861030
16.922551,11.949813
16.978416,12.038718
17.034088,12.127744
17.089568,12.216890
17.144857,12.306154
